word,strong,count,example_book,example_chapter,example_verse
ἀλλ᾽,G235,308,MAT,4,4
δι᾽,G1223,146,MAT,2,12
ἐπ᾽,G1909,132,MAT,3,16
ἀπ᾽,G575,122,MAT,7,23
μετ᾽,G3326,115,MAT,2,3
κατ᾽,G2596,84,MAT,1,20
ἐφ᾽,G1909,78,MAT,9,15
καθ᾽,G2596,62,MAT,5,11
παρ᾽,G3844,59,MAT,2,4
Ἰωάννης,G2491,55,MAT,3,1
ἡς,G3739,46,MAR,7,25
μεθ᾽,G3326,46,MAT,12,45
ἀφ᾽,G575,42,MAT,21,43
Πιλᾶτος,G4091,39,MAT,27,13
Ἰωάννην,G2491,38,MAT,3,13
Ἰωάννου,G2491,35,MAT,9,14
εὐθὲως,G2112,34,MAT,14,27
Δαβὶδ,G1138,31,MAT,1,6
ὑπ᾽,G5259,29,MAT,3,6
Δαβίδ,G1138,28,MAT,1,1
δ᾽,G1161,27,MAT,5,19
Ἡρῴδης,G2264,25,MAT,2,3
μήποτε,G3379,23,MAT,4,6
τεσσαράκοντα,G5062,21,MAT,4,2
Μωσέως,G3475,20,MAT,23,2
Ἠλίας,G2243,17,MAT,11,14
τοῦτ᾽,G5124,17,MAT,27,46
Ῥαββί,G4461,15,MAT,23,7
Δια,G1223,14,MAT,9,11
Καπερναούμ,G2584,13,MAT,8,5
Ἡρῴδου,G2264,13,MAT,2,1
τὴς,G3588,12,MAR,7,17
μήπως,G3381,12,ACT,27,29
ιβ᾽,G1427,12,REV,7,5
δια,G1223,10,LUK,19,23
Βαρναβᾶς,G921,10,ACT,4,36
ὑφ᾽,G5259,10,ACT,4,11
εἰπεν,G2036,10,MAT,14,18
Ἐλισάβετ,G1665,9,LUK,1,5
Καισάρειαν,G2542,9,ACT,8,40
πάσιν,G3956,9,MAT,2,16
κράββατον,G2895,9,MAR,2,4
Ἁνανίας,G367,8,ACT,5,1
Σαμαρείας,G4540,8,LUK,17,11
Βαρναβᾶν,G921,8,ACT,11,22
ἔπεσον,G4098,8,MAT,17,6
αὑτοῦ,G846,8,MAT,13,57
λήψεται,G2983,7,MAT,10,41
Πιλᾶτον,G4091,7,MAT,27,62
λήψεσθε,G2983,7,MAT,20,7
Ἠλίαν,G2243,7,MAT,16,14
Ἰσραηλῖται,G2475,6,ACT,2,22
τέσσαρα,G5064,6,JHN,19,23
ᾅδου,G86,6,MAT,11,23
διαπαντός,G1275,6,MAR,5,5
Καισαρείας,G2542,6,MAT,16,13
Ἔγειραι,G1453,6,MAT,9,5
Βαρναβᾷ,G921,6,ACT,13,43
Πιλάτῳ,G4091,6,MAT,27,2
εἴγε,G1489,5,2CO,5,3
ἁλιεῖς,G231,5,MAT,4,18
Ἰεριχὼ,G2410,5,MAT,20,29
Ἰωάννῃ,G2491,5,MAT,11,4
ἐξήλθετε,G1831,5,MAT,11,7
ἐκχυνόμενον,G1632,5,MAT,23,35
μαχαίρᾳ,G3162,5,MAT,26,52
ἀνελήφθη,G353,5,MAR,16,19
Λευὶ,G3017,5,LUK,3,24
ἐννάτην,G1766,5,MAT,20,5
ἀποθνῄσκειν,G599,5,JHN,4,47
Ἠλίᾳ,G2243,4,MAT,17,4
Α,G1,4,REV,1,8
ὡσπερ,G5618,4,MAT,5,48
ἤμεν,G1510,4,MAT,23,30
οὐτὲ,G3777,4,LUK,12,26
συζητεῖν,G4802,4,MAR,1,27
τούς,G3588,4,LUK,10,22
ἐξεληλύθατε,G1831,4,LUK,7,24
ἐλθέτω,G2064,4,MAT,6,10
ἀυτῶν,G846,4,MAT,18,31
ἀποκατεστάθη,G600,4,MAT,12,13
ἔγειραι,G1453,4,MAR,2,11
πρᾳότητος,G4236,4,1CO,4,21
μαχαίρας,G3162,4,LUK,21,24
λήψονται,G2983,4,MAT,20,10
κρείττονα,G2909,4,1CO,12,31
Ω,G5598,4,REV,1,8
Μωσῇ,G3475,4,MAT,17,4
Βαρναβᾶ,G921,4,ACT,11,30
ᾅδης,G86,3,REV,6,8
Αββα,G5,3,MAR,14,36
