original,resolved_form,phrase_type,function,confidence,method,count,strong,morph
ἀλλ᾽,ἀλλά,,,0.95,elision_map,308,G235,CONJ
δι᾽,διά,PP,Cmpl,0.95,elision_map,146,G1223,PREP
ἐπ᾽,ἐπί,PP,Cmpl,0.95,elision_map,132,G1909,PREP
ἀπ᾽,ἀπό,PP,Cmpl,0.95,elision_map,122,G575,PREP
μετ᾽,μετά,PP,Cmpl,0.95,elision_map,115,G3326,PREP
κατ᾽,κατά,PP,Cmpl,0.95,elision_map,84,G2596,PREP
ἐφ᾽,ἐπί,PP,Cmpl,0.95,elision_map,78,G1909,PREP
καθ᾽,κατά,PP,Cmpl,0.95,elision_map,62,G2596,PREP
παρ᾽,παρά,PP,Cmpl,0.95,elision_map,59,G3844,PREP
Ἰωάννης,,NP,,0.85,capital_name,55,G2491,N-NSM
ἡς,,,Subj,0.9,strong_phrase_map,46,G3739,R-PRO-GSF
μεθ᾽,μετά,PP,Cmpl,0.95,elision_map,46,G3326,PREP
ἀφ᾽,ἀπό,PP,Cmpl,0.95,elision_map,42,G575,PREP
Πιλᾶτος,,NP,,0.85,capital_name,39,G4091,N-NSM
Ἰωάννην,,NP,,0.85,capital_name,38,G2491,N-ASM
Ἰωάννου,,NP,,0.85,capital_name,35,G2491,N-GSM
εὐθὲως,,AdvP,Cmpl,0.9,strong_phrase_map,34,G2112,ADV
Δαβὶδ,,NP,,0.85,capital_name,31,G1138,IND
ὑπ᾽,ὑπό,PP,Cmpl,0.95,elision_map,29,G5259,PREP
Δαβίδ,,NP,,0.85,capital_name,28,G1138,IND
δ᾽,δέ,,,0.95,elision_map,27,G1161,CONJ
Ἡρῴδης,,NP,,0.85,capital_name,25,G2264,N-NSM
μήποτε,,AdvP,Cmpl,0.9,strong_phrase_map,23,G3379,ADV
τεσσαράκοντα,,NP,,0.9,strong_phrase_map,21,G5062,IND
Μωσέως,,NP,,0.85,capital_name,20,G3475,N-GSM
Ἠλίας,,NP,,0.85,capital_name,17,G2243,N-NSM
τοῦτ᾽,τοῦτο,NP,,0.95,elision_map,17,G5124,D-PRO-NSN
Ῥαββί,,NP,,0.85,capital_name,15,G4461,HEB
Δια,,PP,Cmpl,0.9,strong_phrase_map,14,G1223,PREP
Καπερναούμ,,NP,,0.85,capital_name,13,G2584,IND
Ἡρῴδου,,NP,,0.85,capital_name,13,G2264,N-GSM
τὴς,,NP,,0.9,strong_phrase_map,12,G3588,T-GSF
μήπως,,AdvP,Cmpl,0.9,strong_phrase_map,12,G3381,CONJ
ιβ᾽,,NP,,0.9,strong_phrase_map,12,G1427,IND
δια,,PP,Cmpl,0.9,strong_phrase_map,10,G1223,PREP
Βαρναβᾶς,,NP,,0.85,capital_name,10,G921,N-NSM
ὑφ᾽,ὑπό,PP,Cmpl,0.95,elision_map,10,G5259,PREP
εἰπεν,,,Pred,0.9,strong_phrase_map,10,G2036,V-2AAI-3S
Ἐλισάβετ,,NP,,0.85,capital_name,9,G1665,IND
Καισάρειαν,,NP,,0.85,capital_name,9,G2542,N-ASF
πάσιν,,NP,,0.9,strong_phrase_map,9,G3956,A-DPN
κράββατον,,NP,,0.9,strong_phrase_map,9,G2895,N-ASM
Ἁνανίας,,NP,,0.85,capital_name,8,G367,N-NSM
Σαμαρείας,,NP,,0.85,capital_name,8,G4540,N-GSF
Βαρναβᾶν,,NP,,0.85,capital_name,8,G921,N-ASM
ἔπεσον,,,Pred,0.9,strong_phrase_map,8,G4098,V-2AAI-3P
αὑτοῦ,,NP,,0.9,strong_phrase_map,8,G846,P-GSM
λήψεται,,,Pred,0.9,strong_phrase_map,7,G2983,V-FDI-3S
Πιλᾶτον,,NP,,0.85,capital_name,7,G4091,N-ASM
λήψεσθε,,,Pred,0.9,strong_phrase_map,7,G2983,V-FDI-2P
Ἠλίαν,,NP,,0.85,capital_name,7,G2243,N-ASM
Ἰσραηλῖται,,NP,,0.85,capital_name,6,G2475,N-VPM
τέσσαρα,,NP,,0.9,strong_phrase_map,6,G5064,A-APN
ᾅδου,,NP,,0.9,strong_phrase_map,6,G86,N-GSM
διαπαντός,,AdvP,Cmpl,0.9,strong_phrase_map,6,G1275,ADV
Καισαρείας,,NP,,0.85,capital_name,6,G2542,N-GSF
Ἔγειραι,,NP,,0.85,capital_name,6,G1453,V-AMM-2S
Βαρναβᾷ,,NP,,0.85,capital_name,6,G921,N-DSM
Πιλάτῳ,,NP,,0.85,capital_name,6,G4091,N-DSM
εἴγε,,,,0.8,morph_inference,5,G1489,COND
ἁλιεῖς,,NP,,0.9,strong_phrase_map,5,G231,N-NPM
Ἰεριχὼ,,NP,,0.85,capital_name,5,G2410,IND
Ἰωάννῃ,,NP,,0.85,capital_name,5,G2491,N-DSM
ἐξήλθετε,,,Pred,0.9,strong_phrase_map,5,G1831,V-2AAI-2P
ἐκχυνόμενον,,,Pred,0.9,strong_phrase_map,5,G1632,V-PPP-NSN
μαχαίρᾳ,,NP,,0.9,strong_phrase_map,5,G3162,N-DSF
ἀνελήφθη,,,Pred,0.9,strong_phrase_map,5,G353,V-API-3S
Λευὶ,,NP,,0.85,capital_name,5,G3017,IND
ἐννάτην,,NP,,0.9,strong_phrase_map,5,G1766,A-ASF
ἀποθνῄσκειν,,,Pred,0.9,strong_phrase_map,5,G599,V-PAN
Ἠλίᾳ,,NP,,0.85,capital_name,4,G2243,N-DSM
Α,,NP,,0.85,capital_name,4,G1,IND
ὡσπερ,,AdvP,Cmpl,0.9,strong_phrase_map,4,G5618,ADV
ἤμεν,,,Pred,0.9,strong_phrase_map,4,G1510,V-II-1P
οὐτὲ,,,,0.85,morph_inference,4,G3777,CONJ
συζητεῖν,,,,0.9,strong_phrase_map,4,G4802,V-PAN
τούς,,NP,,0.9,strong_phrase_map,4,G3588,T-APM
ἐξεληλύθατε,,,Pred,0.9,strong_phrase_map,4,G1831,V-RAI-2P
ἐλθέτω,,,Pred,0.9,strong_phrase_map,4,G2064,V-2AAM-3S
ἀυτῶν,,NP,,0.9,strong_phrase_map,4,G846,P-GPM
ἀποκατεστάθη,,,Pred,0.85,morph_inference,4,G600,V-API-3S
ἔγειραι,,,Pred,0.85,morph_inference,4,G1453,V-AMM-2S
πρᾳότητος,,NP,,0.85,morph_inference,4,G4236,N-GSF
μαχαίρας,,NP,,0.9,strong_phrase_map,4,G3162,N-GSF
λήψονται,,,Pred,0.9,strong_phrase_map,4,G2983,V-FDI-3P
κρείττονα,,AdjP,,0.75,morph_inference,4,G2909,A-APN
Ω,,NP,,0.85,capital_name,4,G5598,IND
Μωσῇ,,NP,,0.85,capital_name,4,G3475,N-DSM
Βαρναβᾶ,,NP,,0.85,capital_name,4,G921,N-GSM
ᾅδης,,NP,,0.9,strong_phrase_map,3,G86,N-NSM
Αββα,,NP,,0.85,capital_name,3,G5,IND
ὑπερ,,PP,Cmpl,0.9,strong_phrase_map,3,G5228,PREP
ὄψει,,,Pred,0.85,morph_inference,3,G3700,V-FDI-2S
Ἰωσῆ,,NP,,0.85,capital_name,3,G2500,N-GSM
ἱνατί,,AdvP,Cmpl,0.85,morph_inference,3,G2444,ADV
ἐξέδοτο,,,Pred,0.85,morph_inference,3,G1554,V-2AMI-3S
ἐννάτης,,NP,,0.9,strong_phrase_map,3,G1766,A-GSF
ἐννενήκονταεννέα,,NP,,0.9,morph_inference,3,G1768,IND
ἔλεον,,NP,,0.85,morph_inference,3,G1656,N-ASM
ἔρεις,,NP,,0.85,morph_inference,3,G2054,N-NPF
Καπερναοὺμ,,NP,,0.85,capital_name,3,G2584,IND
ἰάσωμαι,,,Pred,0.85,morph_inference,3,G2390,V-ADS-1S
Ἡρῴδῃ,,NP,,0.85,capital_name,3,G2264,N-DSM
Μωσῆν,,NP,,0.85,capital_name,3,G3475,N-ASM
Ἡρῳδιάδος,,NP,,0.85,capital_name,3,G2266,N-GSF
Ἡρῳδιανῶν,,NP,,0.85,capital_name,3,G2265,N-GPM
Πιλάτου,,NP,,0.85,capital_name,3,G4091,N-GSM
Προεφήτευσεν,,NP,,0.85,capital_name,3,G4395,V-AAI-3S
ἐσται,,,Pred,0.85,morph_inference,3,G2071,V-FI-3S
πιστεύσῃ,,,Pred,0.85,morph_inference,3,G4100,V-AAS-3S
Ματθαῖον,,NP,,0.85,capital_name,3,G3156,N-ASM
Μαριά,,NP,,0.85,capital_name,3,G3137,N-NSF
συγκοινωνὸς,,AdjP,,0.75,morph_inference,3,G4791,A-NSM
Λαοδικείᾳ,,NP,,0.85,capital_name,3,G2993,N-DSF
εἴχον,,,Pred,0.85,morph_inference,3,G2192,V-IAI-3P
εἰργάσατο,,,Pred,0.85,morph_inference,3,G2038,V-ADI-3S
Βενιαμίν,,NP,,0.85,capital_name,3,G958,IND
εἰπον,,,Pred,0.9,strong_phrase_map,3,G2036,V-2AAI-3P
γεννήματος,,NP,,0.85,morph_inference,3,G1081,N-GSN
ζῳοποιεῖ,,,Pred,0.85,morph_inference,3,G2227,V-PAI-3S
νηστείᾳ,,NP,,0.85,morph_inference,3,G3521,N-DSF
Μωσεῖ,,NP,,0.85,capital_name,3,G3475,N-DSM
πρᾳότητα,,NP,,0.85,morph_inference,3,G4236,N-ASF
προσωποληψία,,NP,,0.85,morph_inference,3,G4382,N-NSF
οὕς,,,Subj,0.9,strong_phrase_map,3,G3739,R-PRO-APM
τοῦς,,NP,,0.9,strong_phrase_map,3,G3588,T-APM
ἀρέσει,,,Pred,0.85,morph_inference,3,G700,V-FAI-3S
Φάρες,,NP,,0.85,capital_name,3,G5329,IND
ἐκπερισσοῦ,,AdvP,Cmpl,0.85,morph_inference,3,G4057,ADV
Κεγχρεαῖς,,NP,,0.85,capital_name,3,G2747,N-DPF
τετραρχοῦντος,,,Pred,0.85,morph_inference,3,G5075,V-PAP-GSM
τετράρχης,,NP,,0.85,morph_inference,3,G5076,N-NSM
τὲ,,,,0.8,morph_inference,3,G5037,PRT
Ἰεριχώ,,NP,,0.85,capital_name,2,G2410,IND
Ἠλίου,,NP,,0.85,capital_name,2,G2243,N-GSM
Ἰεροσόλυμα,,NP,,0.85,capital_name,2,G2414,N-ASF
Γεθσημανῆ,,NP,,0.85,capital_name,2,G1068,IND
Ἰσραηλίτης,,NP,,0.85,capital_name,2,G2475,N-NSM
ἐξείλετο,,,Pred,0.85,morph_inference,2,G1807,V-2AMI-3S
ἐριθείαι,,NP,,0.85,morph_inference,2,G2052,N-NPF
ἐρράντισεν,,,Pred,0.85,morph_inference,2,G4472,V-AAI-3S
ἐπιρρίψαντες,,,Pred,0.85,morph_inference,2,G1977,V-AAP-NPM
ἐρευνῶν,,,Pred,0.85,morph_inference,2,G2045,V-PAP-NSM
ἑαὐτῷ,,NP,,0.85,morph_inference,2,G1438,REF-DSM
Ταβιθά,,NP,,0.85,capital_name,2,G5000,IND
ἐρρήθη,,,Pred,0.85,morph_inference,2,G4483,V-API-3S
ἰδοῦ,,,Pred,0.85,morph_inference,2,G2400,V-2AAM-2S
Θεσσαλονικείς,,NP,,0.85,capital_name,2,G2331,N-APM
Καισαρείᾳ,,NP,,0.85,capital_name,2,G2542,N-DSF
ἧττον,,AdjP,,0.75,morph_inference,2,G2276,A-ASN
Ἑσρὼμ,,NP,,0.85,capital_name,2,G2074,IND
Ἔλεον,,NP,,0.85,capital_name,2,G1656,N-ASM
Ἐλθε,,,Pred,0.9,strong_phrase_map,2,G2064,V-2AAM-2S
Ἐξέλθετε,,,Pred,0.9,strong_phrase_map,2,G1831,V-2AAM-2P
Ἡρῳδιάδα,,NP,,0.85,capital_name,2,G2266,N-ASF
Ἡρῴδην,,NP,,0.85,capital_name,2,G2264,N-ASM
Ἰωάννα,,NP,,0.85,capital_name,2,G2489,N-GSF
Ἰωσῆς,,NP,,0.85,capital_name,2,G2500,N-NSM
Ἱερουσάλημ,,NP,,0.85,capital_name,2,G2419,IND
Ὀνησίμου,,NP,,0.85,capital_name,2,G3682,N-GSM
ὑιὸς,,NP,,0.85,morph_inference,2,G5207,N-NSM
ῥαββί,,NP,,0.85,morph_inference,2,G4461,HEB
